date_hour,consumption_hour
2019-03-18 23:00:00,384
2019-03-19 00:00:00,1210
2019-03-19 01:00:00,512
2019-03-19 02:00:00,286
2019-03-19 03:00:00,94
2019-03-19 04:00:00,136
2019-03-19 05:00:00,42
2019-03-19 06:00:00,134
2019-03-19 07:00:00,86
2019-03-19 08:00:00,46
2019-03-19 09:00:00,1054
2019-03-19 10:00:00,1286
2019-03-19 11:00:00,1374
2019-03-19 12:00:00,310
2019-03-19 13:00:00,32
2019-03-19 14:00:00,126
2019-03-19 15:00:00,36
2019-03-19 16:00:00,94
2019-03-19 17:00:00,128
2019-03-19 18:00:00,34
2019-03-19 19:00:00,128
2019-03-19 20:00:00,1766
2019-03-19 21:00:00,466
2019-03-19 22:00:00,122
2019-03-19 23:00:00,402
2019-03-20 00:00:00,322
2019-03-20 01:00:00,348
2019-03-20 02:00:00,360
2019-03-20 03:00:00,284
2019-03-20 04:00:00,130
2019-03-20 05:00:00,258
2019-03-20 06:00:00,126
2019-03-20 07:00:00,256
2019-03-20 08:00:00,1136
2019-03-20 09:00:00,856
2019-03-20 10:00:00,166
2019-03-20 11:00:00,316
2019-03-20 12:00:00,264
2019-03-20 13:00:00,356
2019-03-20 14:00:00,266
2019-03-20 15:00:00,358
2019-03-20 16:00:00,56
2019-03-20 17:00:00,106
2019-03-20 18:00:00,100
2019-03-20 19:00:00,114
2019-03-20 20:00:00,490
2019-03-20 21:00:00,324
2019-03-20 22:00:00,126
2019-03-20 23:00:00,34
2019-03-21 00:00:00,198
2019-03-21 01:00:00,52
2019-03-21 02:00:00,130
2019-03-21 03:00:00,92
